months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,days_since_policy,unknown_property_damage,unknown_collision_type,unknown_police_report_but_severe_damage,high_claim_without_witnesses,multi_vehicles_no_injury,no_police_report_but_severe_damage,zip_prefix,auto_make_model
175,34,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,5,1,,2,0,YES,7290,810,810,5670,1995,0,2607,1,1,0,0,0,0,446,Volkswagen_Passat
192,35,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,19,1,NO,0,0,,76600,15320,7660,53620,2000,0,6506,0,0,1,0,0,0,435,Mercedes_C300
430,59,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,19,3,,0,3,YES,81800,16360,8180,57260,1998,0,4011,1,0,0,0,1,0,477,Nissan_Pathfinder
91,27,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,,Trivial Damage,UNKNOWN,NY,Arlington,4,1,,1,2,,7260,1320,660,5280,2008,0,7455,1,1,0,0,0,0,609,BMW_M5
217,39,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,0,0,Vehicle Theft,,Minor Damage,UNKNOWN,WV,Northbend,8,1,,2,1,YES,4300,430,430,3440,2000,0,4648,1,1,0,0,0,0,603,Toyota_Corolla
223,40,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7,3,YES,1,0,,70510,12820,12820,44870,1999,0,7579,0,0,1,0,0,0,437,Suburu_Forrestor
195,39,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,,Minor Damage,Police,VA,Northbend,5,1,NO,0,1,YES,2640,480,480,1680,2009,0,194,0,1,0,0,0,0,478,Ford_F150
22,26,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,3,1,YES,1,2,NO,78900,15780,7890,55230,1995,0,2705,0,0,0,0,0,0,467,Chevrolet_Silverado
439,56,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,,2,3,,56430,0,6270,50160,2014,0,2291,1,0,1,0,0,0,606,Honda_CRV
94,32,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,,Minor Damage,UNKNOWN,VA,Riverwood,19,1,NO,1,3,NO,2400,300,300,1800,2014,0,7067,0,1,0,0,0,0,464,Chevrolet_Silverado
11,39,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,22,1,YES,0,1,NO,65790,7310,7310,51170,2007,0,7903,0,0,0,0,0,1,431,Saab_93
151,36,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,12,3,NO,1,1,NO,62920,11440,5720,45760,2000,0,3601,0,0,0,0,0,0,431,Ford_Escape
154,34,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,15,3,YES,2,1,,69480,15440,0,54040,2014,1,9096,0,0,1,0,0,0,609,Nissan_Maxima
245,44,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,23,3,NO,0,3,NO,44280,7380,3690,33210,1997,0,7804,0,0,0,0,1,1,452,Honda_Accord
119,32,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,12,1,NO,0,3,YES,56300,5630,11260,39410,2011,0,216,0,0,0,0,0,0,468,BMW_M5
215,42,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,20,3,YES,2,2,YES,68520,11420,5710,51390,2003,1,2292,0,0,0,0,0,0,435,Suburu_Legacy
295,42,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,16,3,NO,0,0,NO,59130,6570,6570,45990,2006,1,2828,0,0,0,0,1,1,450,Ford_Escape
254,39,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,6,3,YES,2,2,NO,82320,13720,6860,61740,1995,1,7741,0,0,0,0,0,0,458,Dodge_Neon
107,31,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,12,1,YES,0,1,NO,89700,13800,13800,62100,2009,1,1262,0,0,0,0,0,0,476,Audi_A5
478,64,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,17,3,NO,1,1,NO,33930,0,3770,30160,1998,0,8932,0,0,0,0,0,0,602,BMW_X6
128,30,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,8,1,NO,0,3,NO,68530,12460,6230,49840,1997,0,7638,0,0,0,0,0,1,478,Audi_A5
338,49,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,0,-51500,Parked Car,,Minor Damage,UNKNOWN,NC,Riverwood,13,1,NO,0,1,,4300,860,860,2580,2004,0,7675,0,1,0,0,0,0,449,Ford_F150
271,42,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,12,2,,2,3,,68310,12420,6210,49680,2003,1,1285,1,0,1,0,0,0,463,Audi_A3
222,41,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,7,1,NO,0,2,NO,61290,6810,6810,47670,1995,1,5933,0,0,0,0,0,1,441,Honda_Civic
199,41,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,10,1,NO,1,2,NO,30100,3010,0,27090,1999,0,7009,0,0,0,0,0,0,452,Chevrolet_Malibu
215,37,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7,3,NO,2,0,YES,57120,9520,4760,42840,2002,0,4440,0,0,0,0,0,0,614,Mercedes_C300
192,40,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,18,3,YES,1,0,YES,42930,9540,4770,28620,2005,0,3972,0,0,0,0,0,0,472,BMW_X6
120,35,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,22,3,NO,2,0,NO,51210,11380,5690,34140,2010,0,5095,0,0,0,0,0,1,475,Ford_Fusion
270,45,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,18,3,NO,1,1,YES,89400,14900,7450,67050,1998,0,1828,0,0,0,0,0,0,476,Suburu_Legacy
319,47,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,22,3,NO,0,2,,59730,10860,10860,38010,2005,0,8344,0,0,1,0,1,0,600,Audi_A3
194,39,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,wife,0,-45000,Vehicle Theft,,Minor Damage,UNKNOWN,SC,Springfield,15,1,YES,2,2,YES,8060,1240,1240,5580,2004,0,1709,0,1,0,0,0,0,608,Saab_95
227,38,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,16,1,,1,2,,72200,14440,7220,50540,2013,1,451,1,0,1,0,0,0,471,BMW_M5
137,31,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,paintball,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,6,3,NO,1,2,NO,50800,10160,10160,30480,2005,0,7435,0,0,0,0,0,0,441,Accura_MDX
244,40,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,video-games,wife,0,0,Vehicle Theft,,Trivial Damage,UNKNOWN,NC,Northbrook,10,1,,2,1,,6600,660,1320,4620,2005,0,6392,1,1,0,0,0,0,603,Accura_TL
78,29,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,3,1,YES,2,2,NO,7500,750,1500,5250,2002,0,1444,0,1,0,0,0,0,457,Nissan_Maxima
200,35,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,video-games,wife,57300,-80600,Vehicle Theft,,Trivial Damage,UNKNOWN,VA,Hillsdale,13,1,NO,0,3,YES,6490,1180,1180,4130,2002,0,7456,0,1,0,0,0,0,618,Volkswagen_Jetta
284,48,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,16,2,,2,3,NO,60940,5540,11080,44320,2013,1,6458,1,0,0,0,0,1,605,Audi_A3
275,41,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,board-games,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,13,3,YES,0,1,,58300,5830,11660,40810,2007,0,6673,0,0,1,0,1,0,617,Suburu_Legacy
153,34,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9,3,NO,2,1,,68400,11400,11400,45600,2007,0,3254,0,0,0,0,0,0,432,Ford_F150
134,32,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,yachting,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2,1,,2,1,YES,64240,11680,11680,40880,2015,0,8772,1,0,0,0,0,0,456,BMW_3 Series
31,36,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,Parked Car,,Trivial Damage,UNKNOWN,WV,Arlington,9,1,NO,0,1,YES,4700,940,470,3290,2002,0,5647,0,1,0,0,0,0,601,Dodge_Neon
41,25,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,12,3,YES,2,0,,45120,0,5640,39480,2011,1,8393,0,0,1,0,0,0,607,Accura_MDX
127,29,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,board-games,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,12,2,YES,1,1,,66950,10300,10300,46350,1995,0,5558,0,0,1,0,0,0,436,Saab_93
61,23,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,14,1,NO,0,3,,98340,8940,17880,71520,2004,1,7911,0,0,1,0,0,0,471,Honda_Accord
207,42,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,yachting,own-child,55200,0,Parked Car,,Trivial Damage,UNKNOWN,WV,Springfield,9,1,NO,0,1,NO,5900,590,590,4720,2007,0,5261,0,1,0,0,0,0,453,BMW_X5
219,43,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,3,3,NO,1,1,,70680,5890,11780,53010,2009,0,1503,0,0,1,0,0,0,465,Ford_Fusion
271,42,IL,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,21,3,NO,1,0,NO,93720,17040,8520,68160,2005,0,9074,0,0,0,1,0,1,603,Mercedes_ML350
